"f_21:0","f_21:1","f_21:2","Points:0","Points:1","Points:2"
2.929e-07,-1.3827e-06,0,1.37,2.15,0
2.9852e-07,-1.5286e-06,0,1.38,2.15,0
1.8584e-07,-9.5771e-07,0,1.38,2.16,0
3.0376e-07,-1.6799e-06,0,1.39,2.15,0
1.881e-07,-1.0523e-06,0,1.39,2.16,0
1.8707e-07,-1.1466e-06,0,1.4,2.16,0
1.1684e-07,-6.5729e-07,0,1.39,2.17,0
1.154e-07,-5.9834e-07,0,1.38,2.17,0
1.1642e-07,-7.1599e-07,0,1.4,2.17,0
1.8407e-07,-1.2394e-06,0,1.41,2.16,0
1.1394e-07,-7.7362e-07,0,1.41,2.17,0
1.771e-07,-1.3289e-06,0,1.42,2.16,0
1.0954e-07,-8.2913e-07,0,1.42,2.17,0
1.03e-07,-8.8184e-07,0,1.43,2.17,0
7.2424e-08,-4.0951e-07,0,1.39,2.18,0
7.1519e-08,-3.7305e-07,0,1.38,2.18,0
7.2072e-08,-4.4587e-07,0,1.4,2.18,0
7.0488e-08,-4.8155e-07,0,1.41,2.18,0
6.7651e-08,-5.1593e-07,0,1.42,2.18,0
6.3557e-08,-5.4849e-07,0,1.43,2.18,0
5.819e-08,-5.7875e-07,0,1.44,2.18,0
4.4699e-08,-2.5445e-07,0,1.39,2.19,0
4.4176e-08,-2.32e-07,0,1.38,2.19,0
4.4471e-08,-2.7693e-07,0,1.4,2.19,0
4.3468e-08,-2.9896e-07,0,1.41,2.19,0
4.1695e-08,-3.2019e-07,0,1.42,2.19,0
3.9154e-08,-3.403e-07,0,1.43,2.19,0
3.5856e-08,-3.5893e-07,0,1.44,2.19,0
5.1589e-08,-6.0592e-07,0,1.45,2.18,0
3.1849e-08,-3.7576e-07,0,1.45,2.19,0
2.7171e-08,-3.9043e-07,0,1.46,2.19,0
2.7448e-08,-1.5769e-07,0,1.39,2.2,0
2.734e-08,-1.7157e-07,0,1.4,2.2,0
2.6727e-08,-1.8514e-07,0,1.41,2.2,0
2.5632e-08,-1.9822e-07,0,1.42,2.2,0
2.407e-08,-2.1061e-07,0,1.43,2.2,0
2.2051e-08,-2.2208e-07,0,1.44,2.2,0
1.9598e-08,-2.3244e-07,0,1.45,2.2,0
