"f_21:0","f_21:1","f_21:2","Points:0","Points:1","Points:2"
0,0,0,0,1.64,0
0,0,0,0,1.65,0
2.3099e-07,1.0318e-07,0,0.01,1.65,0
2.4079e-07,9.5209e-08,0,0.01,1.66,0
0,0,0,0,1.66,0
4.9404e-07,1.7179e-07,0,0.02,1.66,0
2.498e-07,8.7035e-08,0,0.01,1.67,0
0,0,0,0,1.67,0
5.1248e-07,1.5696e-07,0,0.02,1.67,0
7.9468e-07,2.1826e-07,0,0.03,1.67,0
2.5802e-07,7.8699e-08,0,0.01,1.68,0
0,0,0,0,1.68,0
5.2923e-07,1.4185e-07,0,0.02,1.68,0
8.205e-07,1.9717e-07,0,0.03,1.68,0
1.1398e-06,2.5037e-07,0,0.04,1.68,0
2.6544e-07,7.0248e-08,0,0.01,1.69,0
0,0,0,0,1.69,0
5.4433e-07,1.2654e-07,0,0.02,1.69,0
8.4374e-07,1.7579e-07,0,0.03,1.69,0
1.1719e-06,2.2312e-07,0,0.04,1.69,0
1.538e-06,2.7254e-07,0,0.05,1.69,0
2.7203e-07,6.1728e-08,0,0.01,1.7,0
0,0,0,0,1.7,0
5.5773e-07,1.1111e-07,0,0.02,1.7,0
8.6435e-07,1.5425e-07,0,0.03,1.7,0
1.2003e-06,1.9568e-07,0,0.04,1.7,0
1.5751e-06,2.3888e-07,0,0.05,1.7,0
1.9532e-06,3.2754e-07,0,0.06,1.69,0
1.9999e-06,2.8683e-07,0,0.06,1.7,0
2.4873e-06,3.4197e-07,0,0.07,1.7,0
2.7781e-07,5.3186e-08,0,0.01,1.71,0
0,0,0,0,1.71,0
5.6944e-07,9.5645e-08,0,0.02,1.71,0
8.8232e-07,1.3267e-07,0,0.03,1.71,0
1.225e-06,1.6818e-07,0,0.04,1.71,0
1.6073e-06,2.0518e-07,0,0.05,1.71,0
2.0404e-06,2.4616e-07,0,0.06,1.71,0
2.5373e-06,2.9327e-07,0,0.07,1.71,0
3.1124e-06,3.4844e-07,0,0.08,1.71,0
2.8276e-07,4.4664e-08,0,0.01,1.72,0
0,0,0,0,1.72,0
5.7944e-07,8.022e-08,0,0.02,1.72,0
8.9764e-07,1.1116e-07,0,0.03,1.72,0
1.2461e-06,1.4078e-07,0,0.04,1.72,0
1.6346e-06,1.7162e-07,0,0.05,1.72,0
2.0748e-06,2.0574e-07,0,0.06,1.72,0
2.5796e-06,2.4497e-07,0,0.07,1.72,0
3.1641e-06,2.9099e-07,0,0.08,1.72,0
3.7831e-06,4.1414e-07,0,0.09,1.71,0
3.8455e-06,3.4561e-07,0,0.09,1.72,0
4.6438e-06,4.1076e-07,0,0.1,1.72,0
2.8689e-07,3.6204e-08,0,0.01,1.73,0
0,0,0,0,1.73,0
5.8776e-07,6.4913e-08,0,0.02,1.73,0
9.1034e-07,8.982e-08,0,0.03,1.73,0
1.2634e-06,1.1362e-07,0,0.04,1.73,0
1.6572e-06,1.3835e-07,0,0.05,1.73,0
2.1031e-06,1.657e-07,0,0.06,1.73,0
2.6144e-06,1.9714e-07,0,0.07,1.73,0
3.2064e-06,2.3406e-07,0,0.08,1.73,0
3.8966e-06,2.7785e-07,0,0.09,1.73,0
4.7052e-06,3.3005e-07,0,0.1,1.73,0
5.5828e-06,4.8896e-07,0,0.11,1.72,0
5.6558e-06,3.9269e-07,0,0.11,1.73,0
6.6888e-06,5.8302e-07,0,0.12,1.72,0
6.7761e-06,4.6781e-07,0,0.12,1.73,0
8.0982e-06,5.5703e-07,0,0.13,1.73,0
9.5356e-06,8.2765e-07,0,0.14,1.72,0
1.1357e-05,9.8521e-07,0,0.15,1.72,0
1.1504e-05,7.8853e-07,0,0.15,1.73,0
9.6596e-06,6.6294e-07,0,0.14,1.73,0
1.3684e-05,9.368e-07,0,0.16,1.73,0
2.902e-07,2.7844e-08,0,0.01,1.74,0
0,0,0,0,1.74,0
5.944e-07,4.9798e-08,0,0.02,1.74,0
9.2043e-07,6.8753e-08,0,0.03,1.74,0
1.2772e-06,8.6809e-08,0,0.04,1.74,0
1.675e-06,1.0554e-07,0,0.05,1.74,0
2.1253e-06,1.2624e-07,0,0.06,1.74,0
2.6417e-06,1.5001e-07,0,0.07,1.74,0
3.2394e-06,1.7792e-07,0,0.08,1.74,0
3.9363e-06,2.1105e-07,0,0.09,1.74,0
4.7528e-06,2.5055e-07,0,0.1,1.74,0
5.7126e-06,2.9782e-07,0,0.11,1.74,0
6.8438e-06,3.5422e-07,0,0.12,1.74,0
8.1788e-06,4.2121e-07,0,0.13,1.74,0
9.7553e-06,5.0066e-07,0,0.14,1.74,0
1.1618e-05,5.9463e-07,0,0.15,1.74,0
1.3818e-05,7.0546e-07,0,0.16,1.74,0
1.6258e-05,1.1121e-06,0,0.17,1.73,0
1.6417e-05,8.3617e-07,0,0.17,1.74,0
1.9486e-05,9.8968e-07,0,0.18,1.74,0
2.9271e-07,1.9622e-08,0,0.01,1.75,0
0,0,0,0,1.75,0
5.9939e-07,3.494e-08,0,0.02,1.75,0
9.2794e-07,4.8057e-08,0,0.03,1.75,0
1.2874e-06,6.0483e-08,0,0.04,1.75,0
1.688e-06,7.3336e-08,0,0.05,1.75,0
2.1416e-06,8.7504e-08,0,0.06,1.75,0
2.6615e-06,1.0376e-07,0,0.07,1.75,0
3.2633e-06,1.2284e-07,0,0.08,1.75,0
3.9649e-06,1.4549e-07,0,0.09,1.75,0
4.7869e-06,1.7247e-07,0,0.1,1.75,0
5.7533e-06,2.0462e-07,0,0.11,1.75,0
6.8921e-06,2.4281e-07,0,0.12,1.75,0
8.2358e-06,2.8805e-07,0,0.13,1.75,0
9.8228e-06,3.4151e-07,0,0.14,1.75,0
1.1698e-05,4.0451e-07,0,0.15,1.75,0
1.3912e-05,4.7861e-07,0,0.16,1.75,0
1.6529e-05,5.6553e-07,0,0.17,1.75,0
1.9617e-05,6.6697e-07,0,0.18,1.75,0
2.3262e-05,7.8598e-07,0,0.19,1.75,0
2.9443e-07,1.1575e-08,0,0.01,1.76,0
0,0,0,0,1.76,0
6.0274e-07,2.0405e-08,0,0.02,1.76,0
9.3293e-07,2.7821e-08,0,0.03,1.76,0
1.2941e-06,3.4753e-08,0,0.04,1.76,0
1.6965e-06,4.1867e-08,0,0.05,1.76,0
2.152e-06,4.967e-08,0,0.06,1.76,0
2.674e-06,5.8595e-08,0,0.07,1.76,0
3.2782e-06,6.9052e-08,0,0.08,1.76,0
3.9825e-06,8.1437e-08,0,0.09,1.76,0
4.8077e-06,9.6141e-08,0,0.1,1.76,0
5.7778e-06,1.1355e-07,0,0.11,1.76,0
6.921e-06,1.3407e-07,0,0.12,1.76,0
8.2697e-06,1.5814e-07,0,0.13,1.76,0
9.8624e-06,1.8628e-07,0,0.14,1.76,0
1.1744e-05,2.1909e-07,0,0.15,1.76,0
1.3967e-05,2.5728e-07,0,0.16,1.76,0
1.6593e-05,3.015e-07,0,0.17,1.76,0
1.9693e-05,3.5232e-07,0,0.18,1.76,0
2.335e-05,4.1062e-07,0,0.19,1.76,0
2.756e-05,9.2313e-07,0,0.2,1.75,0
2.7663e-05,4.7746e-07,0,0.2,1.76,0
3.2744e-05,5.5388e-07,0,0.21,1.76,0
2.9537e-07,3.7376e-09,0,0.01,1.77,0
0,0,0,0,1.77,0
6.0449e-07,6.2537e-09,0,0.02,1.77,0
9.3543e-07,8.1247e-09,0,0.03,1.77,0
1.2973e-06,9.7228e-09,0,0.04,1.77,0
1.7005e-06,1.1268e-08,0,0.05,1.77,0
2.1567e-06,1.2892e-08,0,0.06,1.77,0
2.6794e-06,1.4698e-08,0,0.07,1.77,0
3.2844e-06,1.6774e-08,0,0.08,1.77,0
3.9895e-06,1.9185e-08,0,0.09,1.77,0
4.8156e-06,2.1955e-08,0,0.1,1.77,0
5.7867e-06,2.507e-08,0,0.11,1.77,0
6.931e-06,2.8467e-08,0,0.12,1.77,0
8.281e-06,3.2031e-08,0,0.13,1.77,0
9.8751e-06,3.5639e-08,0,0.14,1.77,0
1.1758e-05,3.9174e-08,0,0.15,1.77,0
1.3983e-05,4.249e-08,0,0.16,1.77,0
1.661e-05,4.5271e-08,0,0.17,1.77,0
1.9712e-05,4.6923e-08,0,0.18,1.77,0
2.3373e-05,4.6821e-08,0,0.19,1.77,0
2.7689e-05,4.4603e-08,0,0.2,1.77,0
3.2774e-05,3.9273e-08,0,0.21,1.77,0
3.8723e-05,6.3963e-07,0,0.22,1.76,0
3.8761e-05,2.8018e-08,0,0.22,1.77,0
4.5805e-05,6.402e-09,0,0.23,1.77,0
2.9555e-07,-3.8558e-09,0,0.01,1.78,0
0,0,0,0,1.78,0
6.0469e-07,-7.4588e-09,0,0.02,1.78,0
9.3553e-07,-1.0952e-08,0,0.03,1.78,0
1.2972e-06,-1.4508e-08,0,0.04,1.78,0
1.7e-06,-1.834e-08,0,0.05,1.78,0
2.1558e-06,-2.2684e-08,0,0.06,1.78,0
2.6779e-06,-2.7752e-08,0,0.07,1.78,0
3.2821e-06,-3.3768e-08,0,0.08,1.78,0
3.9861e-06,-4.0998e-08,0,0.09,1.78,0
4.8109e-06,-4.9749e-08,0,0.1,1.78,0
5.7804e-06,-6.0427e-08,0,0.11,1.78,0
6.9227e-06,-7.3555e-08,0,0.12,1.78,0
8.2703e-06,-8.9769e-08,0,0.13,1.78,0
9.8615e-06,-1.0979e-07,0,0.14,1.78,0
1.1741e-05,-1.3447e-07,0,0.15,1.78,0
1.3961e-05,-1.6479e-07,0,0.16,1.78,0
1.6583e-05,-2.0201e-07,0,0.17,1.78,0
1.9679e-05,-2.4786e-07,0,0.18,1.78,0
2.3332e-05,-3.0431e-07,0,0.19,1.78,0
2.7639e-05,-3.7335e-07,0,0.2,1.78,0
3.2714e-05,-4.5776e-07,0,0.21,1.78,0
3.869e-05,-5.6209e-07,0,0.22,1.78,0
4.5718e-05,-6.9111e-07,0,0.23,1.78,0
5.398e-05,-8.5059e-07,0,0.24,1.78,0
2.9499e-07,-1.1176e-08,0,0.01,1.79,0
0,0,0,0,1.79,0
6.0339e-07,-2.0678e-08,0,0.02,1.79,0
9.3329e-07,-2.9335e-08,0,0.03,1.79,0
1.2938e-06,-3.7849e-08,0,0.04,1.79,0
1.6954e-06,-4.6849e-08,0,0.05,1.79,0
2.1495e-06,-5.6922e-08,0,0.06,1.79,0
